"Date";"Date_UTC";"PoolName";"Currency";"Rate";"Balance";"Paid";"Earnings";"Value";"Balance_Sat";"Paid_Sat";"Earnings_Sat";"Value_Sat"
"02/09/2019 19:13:46";"02/09/2019 12:13:46";"MinerRocks";"XHV";"34470,8721130645";"0,438809443659";"7,0007";"0,072711253466";"0,009334809226";"1273";"20309";"211";"27"
"02/09/2019 19:13:46";"02/09/2019 12:13:46";"ZergPool";"BTC";"1";"0,00020479";"0,00000000";"0,00000294";"0,00000004";"20479";"0";"294";"4"
"02/09/2019 19:44:50";"02/09/2019 12:44:50";"FairPool";"WOW";"0";"1,71442278424";"3,189635132018";"0,000391119906";"0,000204998926";"0";"0";"0";"0"
"02/09/2019 19:44:50";"02/09/2019 12:44:50";"MinerRocks";"SUMO";"265957,446808511";"1,223207782";"0";"1,175889524";"0,201365701";"460";"0";"442";"76"
"02/09/2019 19:44:50";"02/09/2019 12:44:50";"MinerRocks";"XHV";"34470,8721130645";"0,455974971353";"7,0007";"0,089876781160";"0,017165527694";"1323";"20309";"261";"50"
"02/09/2019 20:15:10";"02/09/2019 13:15:10";"FairPool";"WOW";"0";"1,715166518956";"3,189635132018";"0,001134854622";"0,000743734716";"0";"0";"0";"0"
"02/09/2019 20:15:10";"02/09/2019 13:15:10";"MinerRocks";"SUMO";"268096,514745308";"1,945198859";"0";"1,897880601";"0,721991077";"726";"0";"708";"269"
"02/09/2019 20:15:10";"02/09/2019 13:15:10";"MinerRocks";"XHV";"34867,5034867504";"0,463206449036";"7,0007";"0,097108258843";"0,007231477683";"1328";"20078";"279";"21"
"02/09/2019 20:15:10";"02/09/2019 13:15:10";"ZergPool";"BTC";"1";"0,00020482";"0,00000000";"0,00000297";"0,00000003";"20482";"0";"297";"3"
"02/09/2019 20:45:33";"02/09/2019 13:45:33";"FairPool";"WOW";"0";"1,715543194475";"3,189635132018";"0,001511530141";"0,000376675519";"0";"0";"0";"0"
"02/09/2019 20:45:33";"02/09/2019 13:45:33";"MinerRocks";"SUMO";"269541,778975741";"2,412256273";"0";"2,364938015";"0,467057414";"895";"0";"877";"173"
"02/09/2019 20:45:33";"02/09/2019 13:45:33";"MinerRocks";"XHV";"34928,3967865875";"0,472409089232";"7,0007";"0,106310899039";"0,009202640196";"1353";"20043";"304";"26"
"02/09/2019 21:16:00";"02/09/2019 14:16:00";"FairPool";"WOW";"0";"1,715914427605";"3,189635132018";"0,001882763271";"0,000371233130";"0";"0";"0";"0"
"02/09/2019 21:16:00";"02/09/2019 14:16:00";"MinerRocks";"SUMO";"265957,446808511";"2,555653271";"0";"2,508335013";"0,143396998";"961";"0";"943";"54"
"02/09/2019 21:16:00";"02/09/2019 14:16:00";"MinerRocks";"XHV";"34977,2647778944";"0,474405222865";"7,0007";"0,108307032672";"0,001996133633";"1356";"20015";"310";"6"
"02/09/2019 21:16:00";"02/09/2019 14:16:00";"ZergPool";"BTC";"1";"0,00020492";"0,00000000";"0,00000307";"0,00000010";"20492";"0";"307";"10"
"02/09/2019 21:46:25";"02/09/2019 14:46:25";"FairPool";"WOW";"0";"1,716587613897";"3,189635132018";"0,002555949563";"0,000673186292";"0";"0";"0";"0"
"02/09/2019 21:46:25";"02/09/2019 14:46:25";"MinerRocks";"XHV";"34977,2647778944";"0,474650311564";"7,0007";"0,108552121371";"0,000245088699";"1357";"20015";"310";"1"
"02/09/2019 21:46:25";"02/09/2019 14:46:25";"NLpool";"BTC";"1";"0,00010811";"0";"0,00032406";"0,00000001";"10811";"0";"32406";"1"
"02/09/2019 21:46:25";"02/09/2019 14:46:25";"ZergPool";"BTC";"1";"0,00020493";"0,00000000";"0,00000308";"0,00000001";"20493";"0";"308";"1"
"02/09/2019 22:17:08";"02/09/2019 15:17:08";"CryptoKnight";"GRFT";"5882352,94117647";"2,4053013056";"0";"0,8391470520";"0,4493976712";"41";"0";"14";"8"
"02/09/2019 22:17:08";"02/09/2019 15:17:08";"FairPool";"WOW";"0";"1,71661316507";"3,189635132018";"0,002581500736";"0,000025551173";"0";"0";"0";"0"
"02/09/2019 22:17:08";"02/09/2019 15:17:08";"ZergPool";"BTC";"1";"0,00020496";"0,00000000";"0,00000311";"0,00000003";"20496";"0";"311";"3"
"02/09/2019 23:18:39";"02/09/2019 16:18:39";"CryptoKnight";"XTA";"366253,998207575";"0,000589672924";"1,388";"0,377409962220";"0,377409962220";"0";"379";"103";"103"
"02/09/2019 23:18:39";"02/09/2019 16:18:39";"NLpool";"BTC";"1";"0,00010810";"0";"0,00043216";"0,00010810";"10810";"0";"43216";"10810"
"02/09/2019 23:48:55";"02/09/2019 16:48:55";"CryptoKnight";"XTA";"366253,998207575";"0,000826116706";"2,046";"1,035646406002";"0,658236443782";"0";"559";"283";"180"
"03/09/2019 0:19:05";"02/09/2019 17:19:05";"CryptoKnight";"XTA";"366253,998207575";"0,415399535545";"2,649";"2,053219824841";"1,017573418839";"113";"723";"561";"278"
"03/09/2019 0:19:05";"02/09/2019 17:19:05";"MiningRigRentals";"ETH";"57,4217628481194";"0,09442646";"0";"0,00439414";"0,00123772";"164444";"0";"7652";"2155"
"03/09/2019 0:19:05";"02/09/2019 17:19:05";"ZergPool";"BTC";"1";"0,00020504";"0,00000000";"0,00000319";"0,00000008";"20504";"0";"319";"8"
"03/09/2019 0:50:12";"02/09/2019 17:50:12";"CryptoKnight";"XTA";"366253,998207575";"0,000536043745";"3,79";"2,779356333041";"0,726136508200";"0";"1035";"759";"198"
"03/09/2019 0:50:12";"02/09/2019 17:50:12";"NLpool";"BTC";"1";"0,00010811";"0";"0,00043217";"0,00000001";"10811";"0";"43217";"1"
"03/09/2019 1:20:33";"02/09/2019 18:20:33";"CryptoKnight";"XTA";"366253,998207575";"0,205565629436";"3,79";"2,984385918732";"0,205029585691";"56";"1035";"815";"56"
"03/09/2019 1:20:33";"02/09/2019 18:20:33";"ZergPool";"BTC";"1";"0,00020506";"0,00000000";"0,00000321";"0,00000002";"20506";"0";"321";"2"
"03/09/2019 1:51:31";"02/09/2019 18:51:31";"CryptoKnight";"XTA";"366172,844562568";"0,000426292093";"5,133";"4,122246581389";"1,137860662657";"0";"1402";"1126";"311"
"03/09/2019 1:51:31";"02/09/2019 18:51:31";"ZergPool";"BTC";"1";"0,00020507";"0,00000000";"0,00000322";"0,00000001";"20507";"0";"322";"1"
"03/09/2019 2:21:48";"02/09/2019 19:21:48";"CryptoKnight";"XTA";"366172,844562568";"0,000906294936";"6,358";"5,347726584232";"1,225480002843";"0";"1736";"1460";"335"
"03/09/2019 2:21:48";"02/09/2019 19:21:48";"ZergPool";"BTC";"1";"0,00020520";"0,00000000";"0,00000335";"0,00000013";"20520";"0";"335";"13"
"03/09/2019 2:52:05";"02/09/2019 19:52:05";"CryptoKnight";"XTA";"366172,844562568";"0,051538991646";"6,358";"5,398359280942";"0,050632696710";"14";"1736";"1474";"14"
"03/09/2019 2:52:05";"02/09/2019 19:52:05";"ZergPool";"BTC";"1";"0,00020530";"0,00000000";"0,00000345";"0,00000010";"20530";"0";"345";"10"
"03/09/2019 3:22:25";"02/09/2019 20:22:25";"CryptoKnight";"XTA";"366172,844562568";"0,240323798011";"6,358";"5,587144087307";"0,188784806365";"66";"1736";"1526";"52"
"03/09/2019 3:22:25";"02/09/2019 20:22:25";"ZergPool";"BTC";"1";"0,00020541";"0,00000000";"0,00000356";"0,00000011";"20541";"0";"356";"11"
"03/09/2019 3:52:37";"02/09/2019 20:52:37";"CryptoKnight";"XTA";"366172,844562568";"0,275826572028";"6,358";"5,622646861324";"0,035502774017";"75";"1736";"1536";"10"
"03/09/2019 4:22:53";"02/09/2019 21:22:53";"CryptoKnight";"XTA";"366172,844562568";"0,458988044539";"6,358";"5,805808333835";"0,183161472511";"125";"1736";"1586";"50"
"03/09/2019 4:53:13";"02/09/2019 21:53:13";"CryptoKnight";"XTA";"366172,844562568";"0,000860274724";"6,876";"5,865680564020";"0,059872230185";"0";"1878";"1602";"16"
"03/09/2019 4:53:13";"02/09/2019 21:53:13";"ZergPool";"BTC";"1";"0,00020545";"0,00000000";"0,00000360";"0,00000004";"20545";"0";"360";"4"
"03/09/2019 5:23:50";"02/09/2019 22:23:50";"NLpool";"BTC";"1";"0,00010810";"0";"0,00054027";"0,00010810";"10810";"0";"54027";"10810"
"03/09/2019 5:23:50";"02/09/2019 22:23:50";"ZergPool";"BTC";"1";"0,00020547";"0,00000000";"0,00000362";"0,00000002";"20547";"0";"362";"2"
"03/09/2019 5:42:02";"02/09/2019 22:42:02";"NLpool";"BTC";"1";"0,00010811";"0";"0,00054028";"0,00000001";"10811";"0";"54028";"1"
"03/09/2019 5:42:02";"02/09/2019 22:42:02";"ZergPool";"BTC";"1";"0,00020551";"0,00000000";"0,00000366";"0,00000004";"20551";"0";"366";"4"
"03/09/2019 5:45:03";"02/09/2019 22:45:03";"CryptoKnight";"XTA";"366172,844562568";"0,670083939449";"6,876";"6,534904228745";"0,669223664725";"183";"1878";"1785";"183"
"03/09/2019 6:15:12";"02/09/2019 23:15:12";"CryptoKnight";"XTA";"364996,365551698";"0,451505589366";"8,809";"8,249325878662";"1,714421649917";"124";"2413";"2260";"470"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"CryptoKnight";"XTA";"365160,904803893";"0,293868696861";"12,95";"12,232688986157";"3,983363107495";"80";"3546";"3350";"1091"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"HeroMiners";"XWP";"76229,5687944183";"0,133177828481";"0";"0,003336199913";"0,000781305859";"175";"0";"4";"1"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"MinerRocks";"XHV";"35124,6926589392";"0,476583558463";"7,0007";"0,110485368270";"0,001933246899";"1357";"19931";"315";"6"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"NLpool";"BTC";"1";"0,00010818";"0";"0,00054035";"0,00000007";"10818";"0";"54035";"7"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"SparkPool";"BEAM";"7898,89415481833";"0,08892696";"110,59953938";"0,00949728";"0,00187118";"1126";"1400190";"120";"24"
"03/09/2019 6:48:54";"02/09/2019 23:48:54";"ZergPool";"BTC";"1";"0,00020556";"0,00000000";"0,00000371";"0,00000005";"20556";"0";"371";"5"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"CryptoKnight";"XTA";"365160,904803893";"0,323860683256";"15,614";"14,926680972552";"2,693991986395";"89";"4276";"4088";"738"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"HashVault";"TRTL";"250000000";"78,06";"0";"48,96";"48,96";"31";"0";"20";"20"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"MinerRocks";"SUMO";"263157,894736842";"2,716311531";"0";"2,668993273";"0,160658260";"1032";"0";"1014";"61"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"MinerRocks";"XHV";"35124,6926589392";"0,476753865101";"7,0007";"0,110655674908";"0,000170306638";"1357";"19931";"315";"0"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"NLpool";"BTC";"1";"0,00010819";"0";"0,00054036";"0,00000001";"10819";"0";"54036";"1"
"03/09/2019 7:18:44";"03/09/2019 0:18:44";"ZergPool";"BTC";"1";"0,00020566";"0,00000000";"0,00000381";"0,00000010";"20566";"0";"381";"10"
"03/09/2019 7:49:04";"03/09/2019 0:49:04";"MinerRocks";"SUMO";"259067,357512953";"2,878287076";"0";"2,830968818";"0,161975545";"1111";"0";"1093";"63"
"03/09/2019 7:49:04";"03/09/2019 0:49:04";"NLpool";"BTC";"1";"0,00010854";"0";"0,00054071";"0,00000035";"10854";"0";"54071";"35"
"03/09/2019 8:21:33";"03/09/2019 1:21:33";"CryptoKnight";"XTA";"364840,283087567";"0,144871423114";"16,198";"15,331691712410";"0,405010739858";"40";"4440";"4202";"111"
"03/09/2019 8:21:33";"03/09/2019 1:21:33";"MinerRocks";"TRTL";"250000000";"24,81";"0";"10,52";"8,25";"10";"0";"4";"3"
"03/09/2019 8:21:33";"03/09/2019 1:21:33";"ZergPool";"BTC";"1";"0,00020569";"0,00000000";"0,00000384";"0,00000003";"20569";"0";"384";"3"
